identifier,name,opens,openingHours,geoCoordinates.latitude,geoCoordinates.longitude,reservation,hasBreakfast,hasBrunch,hasLunch,hasDinner,isVegetarian,isVegan,main_dishes
2112,Confiserie Speck,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 06:30:00-18:30:00', 'Sa 07:00:00-17:00:00', 'Su 08:00:00-12:00:00']",47.172483,8.5149,0,1,0,1,0,0,0,[]
2107,Zeughauskeller,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Sa,Su 11:30:00-23:00:00']",47.370373,8.539923,0,0,0,1,1,0,0,['culinary-local-specialities']
2101,"Café & Restaurant Confiserie Sprüngli, Paradeplatz","['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 08:30:00-18:30:00', 'Sa 09:00:00-18:30:00', 'Su 09:00:00-17:00:00']",47.369486,8.539159,1,1,1,1,0,0,0,[]
2097, White Elephant,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 12:00:00-14:00:00', 'Mo,Tu,We,Th,Fr,Sa,Su 18:00:00-22:00:00']",47.382602,8.54046,1,0,0,1,1,0,0,['culinary-asian']
2093,Konditorei Confiserie Caredda,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 07:00:00-19:00:00', 'Sa 07:30:00-17:00:00', 'Su 08:00:00-16:00:00']",47.383795,8.52919,0,0,0,1,0,0,0,[]
2092,Widder Restaurant,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['We,Th,Fr,Sa 19:00:00-23:00:00', 'Su 12:00:00-13:30:00']",47.37244,8.539856,1,0,0,1,1,0,0,['culinary-gourmet']
2085,Z am Park,"['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Tu,We,Th,Fr 10:00:00-23:00:00', 'Sa,Su 10:00:00-18:00:00']",47.37651,8.511279,0,1,0,1,1,1,0,"['culinary-vegetarian', 'atmosphere', 'atmosphere-cool-and-trendy']"
2060,Babu’s Bakery & Coffeehouse,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr 07:00:00-18:00:00', 'Sa 08:00:00-18:00:00', 'Su 09:00:00-17:00:00']",47.373094,8.534363,0,1,1,0,0,0,0,[]
2045,Pumpstation,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']","['Mo,Tu,We,Th,Fr,Sa,Su 11:30:00-00:00:00']",47.3633536,8.5467399,0,0,0,1,1,0,0,"['culinary-bbq', 'atmosphere-relaxed-and-cosy', 'atmosphere']"
2021,Oepfelchammer,"['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday']","['Tu,We,Th,Fr,Sa 16:00:00-00:00:00']",47.372346,8.544576,1,0,0,1,1,0,0,['culinary-local-specialities']
